#sceneRasterWidth=106
featureId	band_1:ushort
0	2876
1	2893
2	2909
3	2955
4	2974
5	3001
6	2975
7	2951
8	2874
9	2827
10	2810
11	2841
12	2910
13	2994
14	2999
15	2985
16	2899
17	2689
18	2650
19	2361
20	2030
21	2292
22	2594
23	2703
24	2709
25	2723
26	2754
27	2710
28	2477
29	2480
30	2676
31	2569
32	2161
33	1949
34	1852
35	2109
36	2403
37	2719
38	2730
39	2770
40	2803
41	2697
42	2447
43	2127
44	2425
45	2621
46	2625
47	2613
48	2534
49	2404
50	2319
51	2502
52	2371
53	2195
54	2964
55	2776
56	2544
57	2385
58	2400
59	2317
60	2459
61	2598
62	2499
63	2459
64	2062
65	1778
66	2057
67	2261
68	2258
69	2191
70	2121
71	2215
72	2274
73	2394
74	2392
75	2209
76	1915
77	1664
78	1606
79	1594
80	1612
81	1636
82	1634
83	1628
84	1624
85	1621
86	1605
87	1624
88	1663
89	1792
90	1896
91	1886
92	1879
93	2066
94	2639
95	2800
96	2650
97	2349
98	1986
99	2024
100	2033
101	1706
102	1679
103	1766
104	1810
105	1860
106	2910
107	2913
108	2945
109	2990
110	3001
111	2951
112	2925
113	2948
114	2915
115	2899
116	2884
117	2906
118	2957
119	3011
120	3014
121	2997
122	2881
123	2650
124	2458
125	2220
126	2275
127	2562
128	2661
129	2672
130	2700
131	2725
132	2764
133	2766
134	2628
135	2489
136	2512
137	2441
138	2032
139	1690
140	1826
141	2174
142	2438
143	2644
144	2690
145	2699
146	2713
147	2700
148	2611
149	2346
150	2336
151	2619
152	2570
153	2608
154	2622
155	2499
156	2512
157	2580
158	2453
159	2110
160	2352
161	2558
162	2565
163	2450
164	2341
165	2318
166	2347
167	2515
168	2510
169	2592
170	2542
171	2228
172	2256
173	2364
174	2351
175	2416
176	2014
177	1935
178	2180
179	2466
180	2501
181	2166
182	1811
183	1635
184	1623
185	1630
186	1647
187	1677
188	1669
189	1643
190	1633
191	1629
192	1612
193	1626
194	1629
195	1723
196	1915
197	1883
198	1868
199	2009
200	2608
201	2501
202	2678
203	2628
204	2150
205	2176
206	2270
207	1883
208	1812
209	1809
210	1756
211	1660
212	2977
213	2976
214	3016
215	3017
216	3007
217	2899
218	2843
219	2929
220	2964
221	2954
222	2937
223	2954
224	2977
225	2995
226	2983
227	2979
228	2805
229	2426
230	2255
231	2369
232	2631
233	2683
234	2694
235	2688
236	2682
237	2728
238	2781
239	2784
240	2774
241	2554
242	2379
243	2310
244	1872
245	1804
246	2136
247	2208
248	2172
249	2389
250	2658
251	2696
252	2716
253	2727
254	2665
255	2570
256	2424
257	2508
258	2589
259	2606
260	2609
261	2593
262	2442
263	2426
264	2425
265	2162
266	2287
267	2344
268	2281
269	2594
270	2493
271	2335
272	2366
273	2421
274	2465
275	2543
276	2682
277	2520
278	2313
279	2747
280	2880
281	2877
282	2544
283	2463
284	2528
285	2565
286	2259
287	1945
288	1685
289	1626
290	1634
291	1658
292	1685
293	1693
294	1662
295	1635
296	1639
297	1633
298	1627
299	1608
300	1590
301	1719
302	1901
303	1868
304	1815
305	1939
306	2350
307	2051
308	1862
309	1883
310	1975
311	2499
312	2779
313	2185
314	1794
315	1798
316	1773
317	1694
318	2970
319	2976
320	3044
321	3070
322	3034
323	2959
324	2867
325	2860
326	2939
327	2963
328	2955
329	2956
330	2968
331	2944
332	2909
333	2842
334	2460
335	2304
336	2452
337	2682
338	2712
339	2730
340	2765
341	2721
342	2707
343	2746
344	2780
345	2828
346	2769
347	2659
348	2420
349	2081
350	1803
351	1816
352	2218
353	2170
354	2236
355	2231
356	2572
357	2668
358	2698
359	2716
360	2701
361	2663
362	2529
363	2405
364	2594
365	2595
366	2601
367	2579
368	2507
369	2571
370	2532
371	2213
372	2242
373	2729
374	2453
375	2462
376	2649
377	2448
378	2384
379	2440
380	2476
381	2495
382	2435
383	2399
384	2236
385	2657
386	2899
387	2890
388	2896
389	2701
390	2474
391	2201
392	1954
393	1758
394	1650
395	1608
396	1642
397	1677
398	1692
399	1693
400	1643
401	1619
402	1619
403	1632
404	1627
405	1621
406	1606
407	1706
408	1950
409	2203
410	2165
411	2011
412	1749
413	990
414	636
415	693
416	1424
417	2647
418	2814
419	1920
420	1659
421	1770
422	1733
423	1650
424	2911
425	2950
426	3004
427	3086
428	3087
429	3025
430	2944
431	2856
432	2878
433	2928
434	2931
435	2911
436	2864
437	2908
438	2859
439	2523
440	2355
441	2622
442	2666
443	2737
444	2720
445	2748
446	2752
447	2726
448	2759
449	2800
450	2799
451	2817
452	2537
453	2135
454	1977
455	1834
456	1799
457	2029
458	2364
459	2540
460	2995
461	2597
462	2450
463	2653
464	2685
465	2707
466	2758
467	2731
468	2675
469	2398
470	2465
471	2614
472	2613
473	2568
474	2536
475	2649
476	2597
477	2291
478	2321
479	3039
480	3221
481	2875
482	2666
483	2655
484	2460
485	2457
486	2441
487	2410
488	2200
489	2094
490	2259
491	2750
492	2595
493	2577
494	2743
495	2467
496	2030
497	1795
498	1773
499	1673
500	1641
501	1632
502	1655
503	1659
504	1679
505	1674
506	1635
507	1621
508	1600
509	1657
510	1636
511	1662
512	1640
513	1725
514	2062
515	2664
516	2519
517	2005
518	1777
519	747
520	202
521	682
522	1602
523	2544
524	2436
525	1740
526	1650
527	1748
528	1697
529	1654
530	2874
531	2893
532	2956
533	3064
534	3094
535	3050
536	3043
537	2926
538	2859
539	2914
540	2913
541	2822
542	2836
543	2921
544	2613
545	2368
546	2595
547	2740
548	2757
549	2810
550	2817
551	2825
552	2804
553	2804
554	2801
555	2831
556	2863
557	2826
558	2409
559	2091
560	2004
561	1914
562	1883
563	1903
564	2611
565	3262
566	3383
567	3014
568	2458
569	2602
570	2668
571	2763
572	2781
573	2783
574	2753
575	2500
576	2212
577	2426
578	2574
579	2553
580	2586
581	2552
582	2452
583	2473
584	2538
585	2781
586	3173
587	3228
588	2459
589	2436
590	2685
591	2439
592	2397
593	2376
594	2337
595	2157
596	2171
597	2616
598	2489
599	2340
600	2314
601	2224
602	1854
603	1730
604	1692
605	1659
606	1638
607	1611
608	1641
609	1644
610	1649
611	1672
612	1667
613	1645
614	1634
615	1674
616	1660
617	1681
618	1694
619	1765
620	2061
621	2612
622	2450
623	2280
624	2423
625	1239
626	750
627	1664
628	2092
629	2093
630	1919
631	1688
632	1696
633	1815
634	1772
635	1763
636	2885
637	2929
638	2972
639	3003
640	3061
641	3075
642	3096
643	3017
644	2917
645	2934
646	2948
647	2840
648	2859
649	2772
650	2391
651	2483
652	2721
653	2728
654	2715
655	2758
656	2833
657	2834
658	2785
659	2793
660	2763
661	2757
662	2797
663	2712
664	2413
665	2285
666	2382
667	2111
668	1849
669	1883
670	2583
671	3268
672	3430
673	3287
674	2607
675	2500
676	2667
677	2753
678	2792
679	2806
680	2735
681	2580
682	2193
683	2223
684	2389
685	2423
686	2483
687	2381
688	2385
689	2725
690	2528
691	2445
692	2756
693	3160
694	2594
695	2139
696	2636
697	2516
698	2507
699	2737
700	2928
701	3028
702	2976
703	2976
704	2788
705	2645
706	2495
707	2298
708	1900
709	1782
710	1691
711	1678
712	1658
713	1636
714	1677
715	1700
716	1735
717	1742
718	1707
719	1664
720	1662
721	1685
722	1679
723	1701
724	1665
725	1700
726	2099
727	2341
728	2395
729	2684
730	2609
731	1995
732	1549
733	1956
734	1900
735	1713
736	1666
737	1687
738	1714
739	1801
740	1794
741	1812
742	2954
743	2994
744	3034
745	3025
746	3027
747	3074
748	3086
749	3057
750	2978
751	2925
752	2961
753	2905
754	2824
755	2489
756	2463
757	2684
