#sceneRasterWidth=106
featureId	band_1:ushort
0	2222
1	2244
2	2280
3	2282
4	2298
5	2318
6	2292
7	2254
8	2195
9	2190
10	2236
11	2285
12	2254
13	2335
14	2381
15	2340
16	2320
17	2183
18	2191
19	1991
20	1683
21	2262
22	2942
23	3189
24	3003
25	3059
26	3041
27	3064
28	2824
29	2593
30	2986
31	2589
32	2157
33	1820
34	1375
35	1919
36	2425
37	3392
38	3370
39	3105
40	3062
41	3110
42	3134
43	2041
44	2409
45	3101
46	3265
47	3339
48	2932
49	2714
50	2608
51	2719
52	2272
53	1917
54	2992
55	3728
56	4114
57	4296
58	4226
59	4150
60	3964
61	3635
62	3027
63	2693
64	1802
65	1424
66	1874
67	2452
68	2631
69	2743
70	2583
71	2437
72	2519
73	2596
74	2623
75	2438
76	2254
77	2461
78	2446
79	2528
80	2583
81	2499
82	2424
83	2452
84	2496
85	2521
86	2576
87	2563
88	2588
89	2823
90	2684
91	2623
92	2726
93	2811
94	2850
95	2935
96	3385
97	3332
98	3036
99	3208
100	3484
101	3117
102	2620
103	2203
104	2489
105	2886
106	2227
107	2254
108	2264
109	2235
110	2260
111	2239
112	2258
113	2289
114	2220
115	2214
116	2244
117	2277
118	2315
119	2347
120	2353
121	2325
122	2264
123	2174
124	2152
125	1990
126	2286
127	2906
128	3010
129	3013
130	2943
131	3001
132	3070
133	3067
134	2996
135	2706
136	3383
137	3203
138	2168
139	1685
140	1570
141	1957
142	2510
143	3204
144	3403
145	3216
146	3178
147	3194
148	3376
149	2561
150	1926
151	2911
152	3159
153	3103
154	3201
155	2963
156	3203
157	3453
158	2633
159	1973
160	2147
161	2512
162	3346
163	4195
164	4234
165	4174
166	4077
167	3960
168	3576
169	3273
170	2439
171	1868
172	2011
173	2071
174	2141
175	2481
176	2177
177	1944
178	2169
179	2768
180	2886
181	2501
182	2411
183	2502
184	2478
185	2547
186	2610
187	2542
188	2497
189	2544
190	2577
191	2581
192	2596
193	2582
194	2555
195	2883
196	2680
197	2649
198	2744
199	2739
200	3046
201	2791
202	2883
203	3202
204	2845
205	3147
206	3241
207	2594
208	2562
209	2792
210	3046
211	3162
212	2272
213	2276
214	2271
215	2273
216	2263
217	2221
218	2219
219	2249
220	2262
221	2258
222	2243
223	2240
224	2310
225	2340
226	2293
227	2275
228	2228
229	1971
230	2094
231	2419
232	2948
233	3006
234	2971
235	3016
236	3016
237	3043
238	3166
239	3185
240	3164
241	2737
242	3014
243	2748
244	1959
245	1863
246	2904
247	3159
248	2543
249	2678
250	3330
251	3280
252	3175
253	3200
254	3315
255	3251
256	2101
257	2564
258	3425
259	3386
260	3344
261	3307
262	2969
263	3082
264	2719
265	2097
266	2124
267	2162
268	2302
269	3410
270	4065
271	4228
272	4144
273	3955
274	3609
275	3459
276	3299
277	2582
278	2028
279	2528
280	2682
281	2708
